row_index,source_name,true_label,pred_label,confidence,period,amplitude,ra_deg,dec_deg,simbad_id,simbad_otype,vsx_name,vsx_type,vsx_period,asassn_name,asassn_type,asassn_period,asassn_amp,gcvs_name,gcvs_type,gcvs_period,pred_broad,true_broad,vsx_broad,asassn_broad,simbad_broad,n_confirm_pred,n_confirm_true,final_verdict
7268,ASASSN-V J131156.51-663633.7,RRC,EW,0.989896,0.1891302568803462,0.4320000000000004,197.985458,-66.609361,Gaia DR3 5857807561801947136,EB*,ASASSN-V J131156.31-663633.6,RRC,0.189132,J131156.51-663633.7,RRC,0.1891322,0.32,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
9604,ASASSN-V J054938.63+215431.7,RRC,EW,0.989731,0.2330975227197413,0.266,87.410958,21.908806,ATO J087.4108+21.9088,EB*,ZTF J054938.60+215431.7,EW,0.4662028,J054938.63+215431.7,RRC,0.2330976,0.13,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
9970,ASASSN-V J082155.09-461925.5,RRC,EW,0.989629,0.2028085337927322,0.2270000000000003,125.479542,-46.32375,Gaia DR3 5516693665601132416,EB*,WISE J082155.0-461925,EW,0.405619,J082155.09-461925.5,RRC,0.20281,0.18,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
15318,ASASSN-V J115112.49-532732.4,RRC,EW,0.989556,0.2196376271514821,0.8230000000000004,177.802042,-53.459,Gaia DR3 5344558351406477312,EB*,ASASSN-V J115112.51-532733.5,RRC,0.219637,J115112.49-532732.4,RRC,0.2196374,0.38,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
317241,ZTFJ211024.18+191617.7,EW,RRC,0.989358,0.3680916357037977,0.5670000000000002,317.60075,19.271583,ATO J317.6007+19.2715,RR*,ZTF J211024.18+191617.7,EW,0.7362358,,,,,,,,RR,EB,EB,,RR,1,1,CONFLICTING
5417,ASASSN-V J105133.17-651228.5,RRC,EW,0.98927,0.1952254369586979,0.5129999999999999,162.888208,-65.207917,Gaia DR3 5239546813353556992,EB*,ASASSN-V J105133.05-651228.4,RRC,0.195227,J105133.17-651228.5,RRC,0.1952268,0.29,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
936,ASASSN-V J184824.19+155748.7,RRC,EW,0.989207,0.1807463641030202,0.6479999999999997,282.100792,15.963528,ATO J282.1005+15.9641,EB*,ZTF J184824.13+155751.1,EW,0.3615008,J184824.19+155748.7,RRC,0.1807463,0.35,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
470709,ASASSN-V J165803.34+784730.6,EW,RRC,0.989192,0.2674478438667934,1.1290000000000013,254.513917,78.791833,ZTF J165803.37+784730.6,RR*,PS1-3PI J165803.39+784730.6,RRC,0.267451,J165803.34+784730.6,EW,0.5348984,0.54,,,,RR,EB,RR,EB,RR,2,1,MODEL_LIKELY_CORRECT
574929,ZTFJ131944.67+181826.3,EW,RRC,0.989155,0.4122674340614495,0.5640000000000001,199.936125,18.307306,V* BG Com,RR*,BG Com,RRC,0.41231,J131944.63+181826.7,EW,0.824614,0.58,BG Com    ,RRC,0.305352,RR,EB,RR,EB,RR,3,1,MODEL_LIKELY_CORRECT
203982,ASASSN-V_J204311.78+103158.2,ROT,SR,0.988964,44.17674553313531,5.027000000000001,310.799083,10.532833,ZTF J204311.78+103158.2,LP*,ZTF J204311.78+103158.2,SR,43.8354746,,,,,,,,LPV,ROT,LPV,,LPV,2,0,MODEL_LIKELY_CORRECT
195558,ASASSN-V J094317.44-455459.4,ROT,SR,0.988866,40.57371085973212,0.16699999999999982,145.822667,-45.9165,V* FI Vel,LP*,FI Vel,RS,40.4,J094317.44-455459.4,ROT,40.05002,0.07,FI Vel    ,L,,LPV,ROT,ROT,ROT,LPV,2,2,CONFLICTING
